"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus"
Wetonka_Unit01,2025-10-18 04:00:00.000,"9",30978.73046875,R
Zeeland_Unit01,2025-10-18 04:00:00.000,"8",12.81701756,R
Culbertson_Unit01,2025-10-18 04:00:00.000,"3",0.0,A
GrundyCenter_Unit01,2025-10-18 04:00:00.000,"14",-5.61739635,A
Clark_Unit01,2025-10-18 04:00:00.000,"10",29244.62109375,R
Trimont_Unit01,2025-10-18 04:00:00.000,"13",102.53614044,R
Garvin_Unit01,2025-10-18 04:00:00.000,"12",27968.01171875,R
Eldridge_Unit01,2025-10-18 04:00:00.000,"16",-6.88261318,R
Estelline_Unit01,2025-10-18 04:00:00.000,"11",28565.27734375,R
LaMoille_Unit01,2025-10-18 04:00:00.000,"17",2130.21313477,R
StAnthony_Unit01,2025-10-18 04:00:00.000,"7",12.81701756,R
LoneTree_Unit01,2025-10-18 04:00:00.000,"15",,A
Manning_Unit01,2025-10-18 04:00:00.000,"5",23121.8984375,R
Trimont_Unit01,2025-10-18 03:00:00.000,"13",102.53614044,R
Glasgow_Unit01,2025-10-18 03:00:00.000,"1",1.0,U
GlenUllin_Unit01,2025-10-18 03:00:00.000,"6",0.0,R
GrundyCenter_Unit01,2025-10-18 03:00:00.000,"14",-5.67222166,A
Clark_Unit01,2025-10-18 03:00:00.000,"10",29149.84960938,R
LaMoille_Unit01,2025-10-18 03:00:00.000,"17",2114.23413086,R
LoneTree_Unit01,2025-10-18 03:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 03:00:00.000,"12",27896.87890625,R
Culbertson_Unit01,2025-10-18 03:00:00.000,"3",0.0,A
Estelline_Unit01,2025-10-18 03:00:00.000,"11",28543.9140625,R
Eldridge_Unit01,2025-10-18 03:00:00.000,"16",-7.66719818,R
Arnegard_Unit01,2025-10-18 03:00:00.000,"4",0.0,A
Desplains_Unit01,2025-10-18 03:00:00.000,"18",42598.44921875,U
Manning_Unit01,2025-10-18 03:00:00.000,"5",23117.41210938,R
Zeeland_Unit01,2025-10-18 03:00:00.000,"8",12.81701756,R
StAnthony_Unit01,2025-10-18 03:00:00.000,"7",12.81701756,R
WolfPoint_Unit01,2025-10-18 03:00:00.000,"2",0.74141049,A
Wetonka_Unit01,2025-10-18 03:00:00.000,"9",31111.38671875,R
Culbertson_Unit01,2025-10-18 02:00:00.000,"3",0.0,A
Glasgow_Unit01,2025-10-18 02:00:00.000,"1",1.0,U
Desplains_Unit01,2025-10-18 02:00:00.000,"18",65535.0,U
LaMoille_Unit01,2025-10-18 02:00:00.000,"17",2110.71557617,R
GrundyCenter_Unit01,2025-10-18 02:00:00.000,"14",-5.73486376,A
Eldridge_Unit01,2025-10-18 02:00:00.000,"16",-7.11057758,R
Manning_Unit01,2025-10-18 02:00:00.000,"5",23202.00585938,R
Trimont_Unit01,2025-10-18 02:00:00.000,"13",89.71911621,R
Wetonka_Unit01,2025-10-18 02:00:00.000,"9",31108.82421875,R
LoneTree_Unit01,2025-10-18 02:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 02:00:00.000,"12",27848.17382813,R
Estelline_Unit01,2025-10-18 02:00:00.000,"11",28569.1328125,R
StAnthony_Unit01,2025-10-18 02:00:00.000,"7",12.81701756,R
GlenUllin_Unit01,2025-10-18 02:00:00.000,"6",0.0,R
Arnegard_Unit01,2025-10-18 02:00:00.000,"4",0.0,A
WolfPoint_Unit01,2025-10-18 02:00:00.000,"2",0.74141049,A
Clark_Unit01,2025-10-18 02:00:00.000,"10",29321.87109375,R
Zeeland_Unit01,2025-10-18 02:00:00.000,"8",12.81701756,R
LoneTree_Unit01,2025-10-18 01:00:00.000,"15",,A
Clark_Unit01,2025-10-18 01:00:00.000,"10",29162.77929688,R
Arnegard_Unit01,2025-10-18 01:00:00.000,"4",0.0,A
StAnthony_Unit01,2025-10-18 01:00:00.000,"7",12.81701756,R
Manning_Unit01,2025-10-18 01:00:00.000,"5",23032.81835938,R
WolfPoint_Unit01,2025-10-18 01:00:00.000,"2",0.74141049,A
Culbertson_Unit01,2025-10-18 01:00:00.000,"3",0.0,A
Estelline_Unit01,2025-10-18 01:00:00.000,"11",28490.9453125,R
GrundyCenter_Unit01,2025-10-18 01:00:00.000,"14",-5.54534864,A
