"timestamp","ap_meter","btu","flow_rate_mmcfd","pressure","id","current_daytotal_mmcf","minop"
2025-10-17 15:00:00.000,230240,1030.6103515625,349.5126037598,1313.7794189453,2777284,,1200
2025-10-17 15:00:00.000,220530,1085.1990966797,257.6051025391,882.6748046875,2777160,,800
2025-10-17 15:00:00.000,230500,1061.6124267578,690.3582763672,1282.7194824219,2777346,,1060
2025-10-17 15:00:00.000,220030,1085.0992431641,149.6660461426,882.7024536133,2777098,,712
2025-10-17 15:00:00.000,220960,1084.9212646484,876.1642456055,1020.1015625,2777222,,800
2025-10-17 14:00:00.000,220960,1085.1337890625,875.4290771484,1022.1141967773,2777223,,800
2025-10-17 14:00:00.000,220030,1085.205078125,150.9842529297,884.8107299805,2777099,,712
2025-10-17 14:00:00.000,220530,1083.1948242188,256.9006958008,880.1791992188,2777161,,800
2025-10-17 14:00:00.000,230500,1061.8541259766,685.8540649414,1280.654296875,2777347,,1060
2025-10-17 14:00:00.000,230240,1030.7272949219,373.664855957,1314.5445556641,2777285,,1200
2025-10-17 13:00:00.000,220030,1085.0460205078,149.4069519043,887.9732055664,2777100,,712
2025-10-17 13:00:00.000,230240,1030.4864501953,372.7370300293,1312.1815185547,2777286,,1200
2025-10-17 13:00:00.000,220960,1084.4774169922,948.9060058594,1016.0086669922,2777224,,800
2025-10-17 13:00:00.000,220530,1081.4871826172,234.9910736084,877.68359375,2777162,,800
2025-10-17 13:00:00.000,230500,1061.7211914063,673.5618896484,1278.4914550781,2777348,,1060
2025-10-17 12:00:00.000,230500,1061.1822509766,671.0905761719,1277.1846923828,2777349,,1060
2025-10-17 12:00:00.000,220530,1077.6813964844,234.8332977295,870.772644043,2777163,,800
2025-10-17 12:00:00.000,220960,1086.2873535156,924.8218383789,1020.1541137695,2777225,,800
2025-10-17 12:00:00.000,230240,1031.1076660156,375.9280090332,1309.7189941406,2777287,,1200
2025-10-17 12:00:00.000,220030,1085.470703125,149.9027862549,889.9856567383,2777101,,712
2025-10-17 11:00:00.000,220530,1078.1956787109,234.0600280762,863.2858276367,2777164,,800
2025-10-17 11:00:00.000,220030,1087.9036865234,150.103515625,891.9022216797,2777102,,712
2025-10-17 11:00:00.000,230500,1062.2747802734,661.8958129883,1276.8280029297,2777350,,1060
2025-10-17 11:00:00.000,230240,1029.7351074219,334.0270080566,1303.3302001953,2777288,,1200
2025-10-17 11:00:00.000,220960,1088.2670898438,968.5895385742,1027.1608886719,2777226,,800
2025-10-17 10:00:00.000,230240,1028.4841308594,300.6197509766,1300.5355224609,2777289,,1200
2025-10-17 10:00:00.000,230500,1062.8267822266,672.1189575195,1276.2384033203,2777351,,1060
2025-10-17 10:00:00.000,220960,1090.5340576172,793.315246582,1082.6628417969,2777227,,800
2025-10-17 10:00:00.000,220030,1090.5340576172,151.0864715576,894.6813354492,2777103,,712
2025-10-17 10:00:00.000,220530,1076.2268066406,237.6792449951,854.1673583984,2777165,,800
2025-10-17 09:00:00.000,230240,1027.9534912109,298.8637390137,1300.2917480469,2777290,,1200
2025-10-17 09:00:00.000,220530,1078.5367431641,322.4813232422,827.2916259766,2777166,,800
2025-10-17 09:00:00.000,230500,1060.5949707031,675.6096191406,1277.744140625,2777352,,1060
2025-10-17 09:00:00.000,220030,1089.5759277344,149.4515380859,896.8854980469,2777104,,712
2025-10-17 09:00:00.000,220960,1089.5759277344,763.3673706055,1085.0135498047,2777228,,800
2025-10-17 08:00:00.000,220030,1090.1705322266,148.977645874,898.2271118164,2777105,,712
2025-10-17 08:00:00.000,230240,1030.2674560547,297.5616760254,1299.4654541016,2777291,,1200
2025-10-17 08:00:00.000,230500,1062.6566162109,676.5184936523,1277.2109375,2777353,,1060
2025-10-17 08:00:00.000,220530,1074.3331298828,328.2423706055,830.2671508789,2777167,,800
